schoolid,schoolname,CalendarYear,NumApps,NumFTApps,NumPTApps,NumOffers,NumFTOffers,NumPTOffers,NumMatriculants,NumFTMatriculants,NumPTMatriculants,OtherFirstYear,TotalFirstYear,FTFirstYear,PTFirstYear,UGGPA75,FTUGGPA75,PTUGGPA75,UGGPA50,FTUGGPA50,PTUGGPA50,UGGPA25,FTUGGPA25,PTUGGPA25,UGGPAExcl,FTUGGPAExcl,PTUGGPAExcl,LSAT75,FTLSAT75,PTLSAT75,LSAT50,FTLSAT50,PTLSAT50,LSAT25,FTLSAT25,PTLSAT25,LSATExcl,FTLSATExcl,PTLSATExcl,GMATEnrolled,ACTEnrolled,GREEnrolled,SATEnrolled,GMAT75,GMAT50,GMAT25,ACT75,ACT50,ACT25,GREVerbal75,GREVerbal50,GREVerbal25,GREQuant75,GREQuant50,GREQuant25,GREAnalytical75,GREAnalytical50,GREAnalytical25,SAT75,SAT50,SAT25,FTGREAnalytical25,FTGREAnalytical50,FTGREAnalytical75,FTGREQuant25,FTGREQuant50,FTGREQuant75,FTGREVerbal25,FTGREVerbal50,FTGREVerbal75,PTGREAnalytical25,PTGREAnalytical50,PTGREAnalytical75,PTGREQuant25,PTGREQuant50,PTGREQuant75,PTGREVerbal25,PTGREVerbal50,PTGREVerbal75
100300,Faulkner University,2019,353,,,162,,,59,,,1,60,60,0,3.56,3.56,,3.08,3.08,,2.82,2.82,,0,0,,153,153,,150,150,,147,147,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103600,Samford University,2019,647,,,428,,,159,,,0,159,159,0,3.65,3.65,,3.48,3.48,,3.25,3.25,,0,0,,156,156,,153,153,,150,150,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105100,University of Alabama,2019,1446,,,474,,,132,,,3,135,135,0,4,4,,3.91,3.91,,3.54,3.54,,0,0,,166,166,,164,164,,157,157,,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108100,Arizona State University,2019,3710,,,1091,,,269,,,4,273,273,0,3.91,3.91,,3.81,3.81,,3.39,3.39,,5,5,,165,165,,164,164,,156,156,,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108300,University of Arizona,2019,1495,,,393,,,131,,,2,133,133,0,3.82,3.82,,3.65,3.65,,3.36,3.36,,3,3,,163,163,,162,162,,160,160,,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110101,University of Arkansas-Little Rock,2019,805,,,426,,,154,,,1,155,123,32,3.61,3.63,3.52,3.35,3.36,3.23,3.06,3.06,3.04,0,0,0,155,156,154,152,152,149,148,148,145,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110800,University of Arkansas-Fayetteville,2019,629,,,340,,,113,,,0,113,113,0,3.69,3.69,,3.5,3.5,,3.15,3.15,,0,0,,158,158,,156,156,,153,153,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116453,Chapman University,2019,1743,,,592,,,146,,,2,148,148,0,3.64,3.64,,3.49,3.49,,3.28,3.28,,1,1,,160,160,,158,158,,155,155,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120529,Golden Gate University,2019,1088,,,602,,,122,,,5,127,105,22,3.38,3.45,3.19,3.14,3.15,3.01,2.79,2.83,2.69,7,5,2,152,153,152,150,150,150,147,147,147,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121601,University of La Verne,2019,826,,,337,,,92,,,7,99,86,13,3.29,3.34,3.18,2.98,2.97,3.01,2.79,2.78,2.9,5,4,1,151,151,151,150,150,149,148,148,148,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
